Station ID,Charger Type,Cost (USD/kWh),Availability,Distance to City (km),Usage Stats (avg users/day),Station Operator,Charging Capacity (kW),Connector Types,Installation Year,Renewable Energy Source,Reviews (Rating),Parking Spots,Maintenance Frequency,city,activity_status
EVS00162,DC Fast Charger,0.3,24/7,13.53,30,Ionity,150,CCS,2018,Yes,4.5,3,Annually,San Francisco,low
EVS00646,AC Level 2,0.21,6:00-22:00,9.34,24,Tesla,150,Type 2,2011,Yes,4.2,2,Annually,Los Angeles,low
EVS00704,AC Level 1,0.49,6:00-22:00,2.62,92,EVgo,350,CHAdeMO,2023,Yes,3.9,7,Monthly,Cape Town,high
EVS00719,AC Level 2,0.31,6:00-22:00,9.24,48,EVgo,350,CHAdeMO,2013,Yes,5.0,8,Quarterly,Bangkok,low
EVS00862,AC Level 2,0.48,9:00-18:00,13.95,74,EVgo,50,Type 2,2014,Yes,4.2,7,Quarterly,Seoul,high
EVS01257,AC Level 2,0.44,24/7,7.17,52,Ionity,22,"CHAdeMO, Type 2",2020,No,3.3,3,Annually,Toronto,high
EVS01297,AC Level 1,0.36,6:00-22:00,11.48,69,Ionity,150,"Tesla, CHAdeMO",2013,No,4.4,2,Quarterly,Cape Town,high
EVS01513,DC Fast Charger,0.49,6:00-22:00,12.12,56,EVgo,50,"Type 2, CHAdeMO",2019,Yes,4.6,2,Quarterly,Moscow,high
EVS01884,AC Level 2,0.45,9:00-18:00,10.83,12,Greenlots,150,CHAdeMO,2012,No,3.6,10,Monthly,Berlin,low
EVS02218,DC Fast Charger,0.28,9:00-18:00,16.49,91,Tesla,22,Type 2,2022,Yes,3.4,8,Monthly,Seoul,high
EVS02294,AC Level 2,0.22,9:00-18:00,17.32,17,ChargePoint,50,CHAdeMO,2016,No,3.8,2,Quarterly,Toronto,low
EVS02355,AC Level 2,0.1,9:00-18:00,7.19,55,EVgo,22,"Type 2, CHAdeMO",2011,Yes,4.7,9,Annually,Toronto,high
EVS02912,DC Fast Charger,0.27,24/7,2.92,21,Greenlots,50,"CHAdeMO, Tesla",2021,No,5.0,9,Quarterly,San Francisco,low
EVS02946,AC Level 1,0.47,6:00-22:00,13.61,74,EVgo,50,Type 2,2023,Yes,4.6,4,Monthly,Los Angeles,high
EVS03253,AC Level 2,0.48,6:00-22:00,14.6,13,Tesla,150,"Type 2, Tesla",2021,No,3.4,7,Annually,Cape Town,low
EVS03664,AC Level 2,0.36,6:00-22:00,10.61,24,ChargePoint,22,CHAdeMO,2021,Yes,4.2,5,Monthly,Beijing,low
EVS03727,AC Level 1,0.32,9:00-18:00,12.96,70,ChargePoint,22,"Type 2, CCS",2013,Yes,3.5,10,Annually,São Paulo,high
EVS03840,AC Level 2,0.25,24/7,18.07,51,EVgo,50,Type 2,2018,Yes,3.5,6,Monthly,Sydney,high
EVS03864,AC Level 2,0.22,6:00-22:00,3.15,80,ChargePoint,150,Type 2,2017,No,3.5,9,Monthly,Mexico City,high
EVS04097,AC Level 1,0.43,9:00-18:00,15.62,28,Greenlots,22,"CHAdeMO, Type 2",2018,No,4.9,3,Monthly,Sydney,low
EVS04510,AC Level 2,0.13,6:00-22:00,14.75,50,Greenlots,50,"Type 2, CHAdeMO",2016,Yes,3.2,6,Annually,Mexico City,high
EVS04678,DC Fast Charger,0.41,9:00-18:00,5.24,56,Tesla,150,"CCS, CHAdeMO",2017,No,4.1,9,Quarterly,Toronto,high
EVS00563,AC Level 1,0.49,6:00-22:00,5.46,67,ChargePoint,150,"CCS, CHAdeMO",2014,Yes,4.4,2,Monthly,Toronto,high
EVS00675,AC Level 1,0.28,24/7,2.7,100,Greenlots,50,CHAdeMO,2019,No,3.6,3,Quarterly,Berlin,high
EVS00912,AC Level 1,0.21,9:00-18:00,12.64,87,Greenlots,50,Tesla,2012,No,3.6,4,Monthly,Cape Town,high
EVS01117,DC Fast Charger,0.44,6:00-22:00,19.32,87,Greenlots,22,Type 2,2010,No,4.8,9,Annually,Sydney,high
EVS01276,AC Level 2,0.45,6:00-22:00,17.29,93,Ionity,50,"Type 2, Tesla",2021,Yes,3.8,4,Monthly,Beijing,high
EVS01976,AC Level 1,0.33,24/7,6.71,76,Tesla,150,"CCS, CHAdeMO",2010,Yes,4.4,9,Annually,Beijing,high
EVS02407,AC Level 1,0.3,24/7,13.87,17,EVgo,150,"CHAdeMO, Tesla",2019,Yes,4.2,4,Monthly,Chicago,low
EVS03002,DC Fast Charger,0.41,9:00-18:00,1.26,65,ChargePoint,350,"CHAdeMO, CCS",2011,No,4.6,7,Monthly,Sydney,high
EVS03027,DC Fast Charger,0.26,6:00-22:00,9.23,81,Ionity,22,Type 2,2013,Yes,3.5,2,Monthly,São Paulo,high
EVS03063,DC Fast Charger,0.19,24/7,12.27,57,Tesla,50,"Tesla, CCS",2011,No,4.1,5,Monthly,Beijing,high
EVS03209,AC Level 2,0.34,24/7,18.18,90,Greenlots,350,"CHAdeMO, CCS",2017,No,3.9,7,Monthly,Cape Town,high
EVS03294,AC Level 1,0.47,24/7,2.34,47,Tesla,350,CCS,2020,No,3.0,7,Annually,Beijing,low
EVS03295,AC Level 1,0.49,6:00-22:00,9.71,96,EVgo,150,"Tesla, CCS",2020,Yes,4.7,4,Quarterly,San Francisco,high
EVS03475,AC Level 1,0.11,24/7,11.67,94,ChargePoint,350,CHAdeMO,2015,No,3.6,2,Annually,San Francisco,high
EVS03674,AC Level 2,0.36,6:00-22:00,1.08,84,Greenlots,150,"CCS, CHAdeMO",2019,No,4.9,10,Annually,Sydney,high
EVS04056,DC Fast Charger,0.27,6:00-22:00,7.74,31,Tesla,350,Tesla,2010,Yes,4.9,2,Quarterly,Toronto,low
EVS04213,DC Fast Charger,0.41,6:00-22:00,15.98,93,EVgo,22,Tesla,2016,Yes,3.6,2,Annually,Los Angeles,high
EVS04223,AC Level 1,0.18,6:00-22:00,1.72,55,Greenlots,50,Tesla,2022,Yes,4.3,6,Annually,Sydney,high
EVS04768,AC Level 2,0.17,24/7,7.62,78,Greenlots,50,"Type 2, Tesla",2018,No,3.5,6,Quarterly,Cape Town,high
EVS04813,DC Fast Charger,0.14,6:00-22:00,19.11,73,Tesla,50,CHAdeMO,2010,No,3.1,1,Quarterly,Cape Town,high
EVS04965,AC Level 2,0.29,6:00-22:00,6.83,91,Greenlots,150,"CCS, CHAdeMO",2011,Yes,3.4,8,Monthly,Cape Town,high
EVS00165,AC Level 1,0.46,9:00-18:00,18.56,100,ChargePoint,50,"CHAdeMO, CCS",2022,Yes,4.2,9,Monthly,Los Angeles,high
EVS00268,DC Fast Charger,0.21,6:00-22:00,4.69,53,Ionity,50,Tesla,2021,No,4.0,10,Annually,Los Angeles,high
EVS00330,AC Level 1,0.43,24/7,14.48,23,Tesla,150,"Tesla, Type 2",2010,No,4.3,9,Annually,Mexico City,low
EVS01216,DC Fast Charger,0.47,6:00-22:00,1.32,64,Greenlots,150,Type 2,2013,No,4.0,6,Quarterly,Berlin,high
EVS01274,AC Level 2,0.14,6:00-22:00,19.44,75,EVgo,50,CCS,2023,Yes,3.6,6,Quarterly,Toronto,high
EVS01820,DC Fast Charger,0.43,9:00-18:00,18.74,49,Tesla,350,Tesla,2022,No,3.1,4,Monthly,Chicago,low
EVS01915,DC Fast Charger,0.26,6:00-22:00,4.28,95,ChargePoint,150,"Type 2, CCS",2011,Yes,3.6,1,Quarterly,Cape Town,high
EVS01974,DC Fast Charger,0.47,6:00-22:00,10.65,96,Ionity,50,"CHAdeMO, Type 2",2010,No,3.2,9,Quarterly,Bangkok,high
EVS01986,AC Level 2,0.27,6:00-22:00,2.37,44,Ionity,350,CCS,2019,No,3.0,2,Annually,San Francisco,low
EVS02073,AC Level 1,0.13,24/7,11.24,53,Greenlots,350,Tesla,2011,No,4.2,7,Annually,San Francisco,high
EVS02392,AC Level 2,0.2,24/7,5.99,51,EVgo,350,"Type 2, CHAdeMO",2012,Yes,3.7,1,Annually,Chicago,high
EVS02553,AC Level 2,0.21,24/7,6.98,46,ChargePoint,150,Type 2,2014,No,3.1,4,Annually,Berlin,low
EVS02627,AC Level 2,0.14,9:00-18:00,4.38,31,ChargePoint,350,CCS,2013,No,4.0,5,Annually,Sydney,low
EVS02952,DC Fast Charger,0.25,24/7,4.53,100,EVgo,350,"CHAdeMO, Tesla",2013,Yes,3.1,1,Quarterly,Cape Town,high
EVS03049,AC Level 2,0.14,9:00-18:00,12.51,18,Tesla,150,CCS,2017,No,4.5,4,Annually,Toronto,low
EVS03076,AC Level 2,0.13,9:00-18:00,12.21,39,ChargePoint,22,"CHAdeMO, CCS",2011,Yes,4.6,2,Annually,Dubai,low
EVS03148,DC Fast Charger,0.21,6:00-22:00,7.73,29,EVgo,22,Tesla,2021,No,3.8,7,Monthly,Moscow,low
EVS03493,AC Level 1,0.36,24/7,19.87,55,Ionity,350,"Tesla, Type 2",2019,No,4.9,4,Monthly,Los Angeles,high
EVS03494,AC Level 2,0.33,9:00-18:00,11.11,14,ChargePoint,22,"CHAdeMO, CCS",2021,Yes,4.8,1,Quarterly,Sydney,low
EVS03726,AC Level 1,0.34,9:00-18:00,15.4,33,EVgo,150,"Type 2, Tesla",2011,Yes,3.0,1,Monthly,Mexico City,low
EVS03863,DC Fast Charger,0.11,6:00-22:00,6.57,47,Greenlots,350,CHAdeMO,2016,Yes,4.7,3,Quarterly,São Paulo,low
EVS04245,AC Level 2,0.1,24/7,11.91,100,Ionity,150,Type 2,2010,Yes,3.3,5,Monthly,Beijing,high
EVS04276,DC Fast Charger,0.3,24/7,3.97,11,Greenlots,50,CCS,2022,No,4.9,3,Annually,Mumbai,low
EVS04638,AC Level 2,0.33,9:00-18:00,13.25,13,Greenlots,50,CCS,2011,Yes,4.4,8,Quarterly,São Paulo,low
EVS04967,AC Level 2,0.11,6:00-22:00,4.52,71,ChargePoint,150,"CHAdeMO, Tesla",2019,Yes,4.3,3,Quarterly,Mumbai,high
EVS00210,AC Level 2,0.33,24/7,4.19,70,Tesla,350,CHAdeMO,2010,No,3.4,3,Quarterly,Mumbai,high
EVS00772,AC Level 1,0.31,9:00-18:00,16.56,43,Greenlots,22,CCS,2023,No,4.4,5,Monthly,Los Angeles,low
EVS00870,DC Fast Charger,0.34,24/7,9.85,33,Tesla,350,CHAdeMO,2015,No,3.2,7,Annually,Mumbai,low
EVS00872,AC Level 1,0.24,6:00-22:00,2.21,64,EVgo,50,CHAdeMO,2012,Yes,3.9,6,Monthly,Berlin,high
EVS01304,AC Level 1,0.17,6:00-22:00,13.62,39,ChargePoint,22,Type 2,2018,Yes,4.0,8,Monthly,Beijing,low
EVS01433,AC Level 1,0.1,6:00-22:00,19.45,50,ChargePoint,22,Tesla,2018,Yes,4.7,3,Annually,Beijing,high
EVS01542,AC Level 2,0.11,6:00-22:00,15.65,78,Greenlots,350,"Tesla, Type 2",2021,Yes,4.1,10,Annually,Seoul,high
EVS01655,DC Fast Charger,0.43,9:00-18:00,7.08,52,ChargePoint,150,Tesla,2016,No,4.9,9,Quarterly,Mexico City,high
EVS01723,AC Level 2,0.31,24/7,0.77,64,Ionity,50,CCS,2019,No,4.3,8,Monthly,Mumbai,high
EVS01877,AC Level 1,0.27,24/7,1.96,80,EVgo,50,"CHAdeMO, Type 2",2012,Yes,4.5,1,Annually,Cape Town,high
EVS02172,DC Fast Charger,0.46,6:00-22:00,5.37,54,ChargePoint,50,Type 2,2014,No,4.4,1,Quarterly,Moscow,high
EVS02330,AC Level 2,0.16,9:00-18:00,2.24,53,Tesla,350,CCS,2020,No,4.3,6,Monthly,San Francisco,high
EVS02385,AC Level 2,0.39,24/7,0.59,79,ChargePoint,22,"Tesla, Type 2",2020,Yes,3.1,10,Monthly,Berlin,high
EVS02406,AC Level 1,0.26,24/7,5.12,96,EVgo,150,"Type 2, Tesla",2015,No,3.4,8,Quarterly,Chicago,high
EVS02434,DC Fast Charger,0.22,6:00-22:00,1.59,31,Greenlots,22,Tesla,2023,No,4.0,5,Annually,Toronto,low
EVS02544,AC Level 1,0.19,6:00-22:00,19.37,41,ChargePoint,22,Tesla,2013,No,3.1,9,Monthly,Mexico City,low
EVS02635,AC Level 1,0.28,24/7,9.93,23,Ionity,50,"Type 2, CHAdeMO",2012,Yes,4.8,2,Quarterly,Moscow,low
EVS03207,DC Fast Charger,0.15,9:00-18:00,6.7,63,Ionity,22,"Type 2, Tesla",2012,No,3.9,4,Annually,Mexico City,high
EVS04247,AC Level 1,0.2,6:00-22:00,7.28,14,EVgo,350,"Type 2, CCS",2013,No,4.3,9,Monthly,Mexico City,low
EVS04383,DC Fast Charger,0.25,6:00-22:00,19.56,94,EVgo,22,CCS,2016,Yes,4.0,1,Annually,Moscow,high
EVS04743,AC Level 1,0.35,24/7,11.02,32,EVgo,350,"Tesla, CHAdeMO",2021,No,4.5,2,Monthly,São Paulo,low
EVS00119,AC Level 2,0.18,9:00-18:00,18.85,44,Greenlots,50,"CCS, CHAdeMO",2017,Yes,3.9,6,Monthly,Dubai,low
EVS00394,DC Fast Charger,0.42,9:00-18:00,13.17,46,Greenlots,150,Type 2,2016,No,3.2,1,Annually,Sydney,low
EVS00463,AC Level 2,0.39,24/7,0.84,55,Ionity,50,CCS,2019,No,3.9,2,Quarterly,Chicago,high
EVS00715,DC Fast Charger,0.1,6:00-22:00,3.76,56,Ionity,22,CHAdeMO,2023,Yes,4.3,2,Annually,Los Angeles,high
EVS00742,AC Level 1,0.17,9:00-18:00,14.21,20,Tesla,150,"Tesla, Type 2",2020,Yes,4.3,1,Monthly,Berlin,low
EVS00860,DC Fast Charger,0.12,24/7,0.68,44,Ionity,22,"Type 2, Tesla",2011,No,3.4,9,Quarterly,Los Angeles,low
EVS01123,DC Fast Charger,0.38,6:00-22:00,17.89,35,Tesla,50,CHAdeMO,2014,No,4.5,2,Annually,Sydney,low
EVS02017,AC Level 2,0.49,24/7,17.15,36,Ionity,150,Type 2,2020,No,3.3,1,Annually,Beijing,low
EVS02059,AC Level 2,0.43,6:00-22:00,14.47,94,Greenlots,350,"Type 2, CHAdeMO",2022,Yes,4.2,7,Annually,Mexico City,high
EVS02129,AC Level 1,0.21,9:00-18:00,1.04,16,Tesla,50,CCS,2020,No,3.5,6,Annually,Bangkok,low
EVS02254,DC Fast Charger,0.4,9:00-18:00,8.22,74,Tesla,22,Type 2,2010,Yes,3.1,4,Annually,Mexico City,high
EVS02649,AC Level 2,0.37,6:00-22:00,8.11,51,Ionity,350,Type 2,2018,Yes,3.4,2,Monthly,Dubai,high
EVS03043,DC Fast Charger,0.5,9:00-18:00,12.16,43,Greenlots,22,CCS,2015,No,3.4,1,Monthly,Cape Town,low
EVS03133,DC Fast Charger,0.33,6:00-22:00,4.93,11,Greenlots,50,CHAdeMO,2012,Yes,4.5,10,Annually,San Francisco,low
EVS03256,DC Fast Charger,0.4,9:00-18:00,18.09,78,Ionity,50,"CHAdeMO, Type 2",2020,No,4.1,6,Quarterly,Toronto,high
EVS03462,DC Fast Charger,0.5,9:00-18:00,18.73,73,EVgo,350,"CHAdeMO, Tesla",2014,Yes,4.3,7,Quarterly,São Paulo,high
EVS03567,AC Level 1,0.29,9:00-18:00,15.42,51,ChargePoint,22,CHAdeMO,2020,No,3.3,5,Annually,Sydney,high
EVS03839,AC Level 2,0.13,9:00-18:00,12.16,56,Tesla,150,Tesla,2011,No,3.6,6,Quarterly,Seoul,high
EVS04175,DC Fast Charger,0.44,9:00-18:00,19.2,59,ChargePoint,22,"Type 2, CHAdeMO",2012,No,4.4,8,Annually,Berlin,high
EVS04536,DC Fast Charger,0.31,6:00-22:00,7.07,46,Tesla,22,"Tesla, CCS",2016,No,4.1,1,Quarterly,Seoul,low
EVS04589,DC Fast Charger,0.34,9:00-18:00,6.68,17,Ionity,350,CCS,2015,Yes,3.6,4,Monthly,Cape Town,low
EVS04603,AC Level 2,0.37,24/7,13.67,36,ChargePoint,150,"Type 2, CCS",2010,Yes,3.8,6,Monthly,Bangkok,low
EVS04788,AC Level 1,0.47,9:00-18:00,16.4,94,ChargePoint,350,CHAdeMO,2015,No,3.3,5,Annually,Mumbai,high
EVS04855,DC Fast Charger,0.39,6:00-22:00,10.78,56,ChargePoint,22,Type 2,2010,Yes,3.3,3,Monthly,Toronto,high
EVS00604,DC Fast Charger,0.11,6:00-22:00,10.71,54,Tesla,22,CCS,2021,No,4.2,9,Monthly,Dubai,high
EVS01388,AC Level 2,0.12,24/7,7.55,90,Ionity,50,CHAdeMO,2017,Yes,4.9,4,Monthly,San Francisco,high
EVS01687,DC Fast Charger,0.28,9:00-18:00,9.9,92,EVgo,50,Type 2,2023,Yes,3.3,3,Quarterly,Cape Town,high
EVS01714,AC Level 1,0.19,9:00-18:00,10.43,83,Ionity,22,CHAdeMO,2019,Yes,3.3,2,Quarterly,Mumbai,high
EVS01782,AC Level 2,0.43,24/7,12.17,86,Ionity,350,Tesla,2022,Yes,3.6,3,Monthly,Mumbai,high
EVS01880,DC Fast Charger,0.3,24/7,15.83,24,Greenlots,50,"CHAdeMO, CCS",2019,No,3.4,7,Quarterly,Bangkok,low
EVS02057,AC Level 1,0.19,6:00-22:00,5.3,90,Tesla,150,"Tesla, CHAdeMO",2023,No,3.7,2,Annually,Beijing,high
EVS02077,AC Level 2,0.2,9:00-18:00,4.62,69,Ionity,22,"Tesla, CCS",2023,Yes,4.5,10,Monthly,San Francisco,high
EVS02199,DC Fast Charger,0.43,9:00-18:00,14.13,24,EVgo,22,CHAdeMO,2021,No,3.7,2,Quarterly,Los Angeles,low
EVS02975,AC Level 1,0.13,24/7,13.96,19,ChargePoint,22,"CCS, CHAdeMO",2023,No,3.4,1,Annually,Toronto,low
EVS03913,AC Level 1,0.14,24/7,9.6,28,EVgo,22,Tesla,2012,Yes,4.6,6,Quarterly,Beijing,low
EVS03952,DC Fast Charger,0.35,6:00-22:00,18.3,56,ChargePoint,50,"Tesla, CCS",2014,No,4.1,4,Annually,Mumbai,high
EVS04127,AC Level 2,0.38,24/7,15.85,77,ChargePoint,350,Type 2,2013,Yes,4.9,5,Annually,Chicago,high
EVS04284,AC Level 1,0.48,6:00-22:00,6.12,10,ChargePoint,350,"CHAdeMO, Type 2",2013,No,4.6,4,Quarterly,São Paulo,low
EVS04468,AC Level 1,0.45,9:00-18:00,3.62,92,Tesla,50,"CHAdeMO, Tesla",2014,No,3.1,5,Annually,Dubai,high
EVS04602,DC Fast Charger,0.33,24/7,18.97,21,Ionity,150,Tesla,2011,Yes,4.6,1,Quarterly,São Paulo,low
EVS04676,AC Level 2,0.26,9:00-18:00,15.53,12,Ionity,22,"CCS, CHAdeMO",2023,No,3.9,3,Quarterly,Bangkok,low
EVS04803,AC Level 1,0.12,9:00-18:00,13.01,78,Ionity,150,Tesla,2019,Yes,3.7,8,Annually,Dubai,high
EVS00376,AC Level 2,0.21,24/7,11.69,50,Tesla,350,"Type 2, CCS",2010,Yes,4.7,4,Monthly,Mumbai,high
EVS00450,DC Fast Charger,0.43,6:00-22:00,14.53,97,Tesla,350,CCS,2021,Yes,4.7,10,Quarterly,Beijing,high
EVS00608,DC Fast Charger,0.5,24/7,12.86,23,Ionity,22,CCS,2010,Yes,4.2,3,Quarterly,Beijing,low
EVS00925,DC Fast Charger,0.34,9:00-18:00,18.0,72,EVgo,350,"Type 2, Tesla",2013,Yes,3.6,3,Monthly,São Paulo,high
EVS00985,DC Fast Charger,0.13,24/7,8.72,69,Tesla,150,Tesla,2020,Yes,3.0,4,Quarterly,Seoul,high
EVS01055,DC Fast Charger,0.48,9:00-18:00,10.6,12,Greenlots,22,Type 2,2017,Yes,4.6,3,Annually,Cape Town,low
EVS01289,AC Level 2,0.3,24/7,9.15,66,ChargePoint,350,"CHAdeMO, CCS",2013,Yes,4.2,2,Quarterly,Chicago,high
EVS01309,AC Level 2,0.24,24/7,10.27,39,Greenlots,22,Tesla,2020,Yes,4.9,10,Monthly,Bangkok,low
EVS01486,DC Fast Charger,0.39,9:00-18:00,12.72,41,Tesla,350,Type 2,2016,Yes,4.2,6,Quarterly,Sydney,low
EVS01985,AC Level 2,0.42,9:00-18:00,5.54,48,Greenlots,22,"CHAdeMO, Type 2",2019,Yes,4.7,5,Monthly,Mexico City,low
EVS02459,DC Fast Charger,0.22,24/7,6.94,70,EVgo,22,"CHAdeMO, Type 2",2019,Yes,3.6,2,Quarterly,Seoul,high
EVS02780,AC Level 2,0.47,24/7,18.05,14,Ionity,50,"Type 2, CCS",2021,Yes,3.4,8,Annually,San Francisco,low
EVS02827,AC Level 2,0.17,24/7,5.36,12,Greenlots,350,"Tesla, CHAdeMO",2015,Yes,3.6,8,Quarterly,San Francisco,low
EVS02843,DC Fast Charger,0.13,9:00-18:00,15.68,39,ChargePoint,22,CHAdeMO,2017,Yes,5.0,6,Annually,Los Angeles,low
EVS03896,AC Level 2,0.1,9:00-18:00,14.93,81,Greenlots,50,CHAdeMO,2012,No,4.0,4,Monthly,Beijing,high
EVS04822,DC Fast Charger,0.14,24/7,2.69,66,ChargePoint,350,"CCS, Type 2",2010,No,3.5,6,Monthly,São Paulo,high
EVS00282,AC Level 2,0.5,6:00-22:00,13.15,91,EVgo,350,"Type 2, CHAdeMO",2017,Yes,3.9,7,Annually,Moscow,high
EVS00489,AC Level 1,0.4,6:00-22:00,1.3,91,Tesla,50,"Type 2, CCS",2018,No,4.4,3,Monthly,Sydney,high
EVS01594,AC Level 1,0.21,24/7,17.15,31,EVgo,150,CCS,2010,No,3.3,1,Monthly,São Paulo,low
EVS01670,DC Fast Charger,0.45,6:00-22:00,14.96,75,EVgo,50,"CCS, CHAdeMO",2013,Yes,3.7,1,Monthly,Moscow,high
EVS01882,AC Level 1,0.38,24/7,15.31,32,Tesla,150,CCS,2016,Yes,3.0,7,Annually,Bangkok,low
EVS02045,AC Level 1,0.32,24/7,17.08,82,ChargePoint,150,"Type 2, Tesla",2023,Yes,4.6,5,Monthly,Cape Town,high
EVS02079,DC Fast Charger,0.48,6:00-22:00,16.15,44,Ionity,150,Tesla,2021,No,3.9,1,Quarterly,Berlin,low
EVS02524,AC Level 1,0.44,6:00-22:00,2.05,99,Ionity,350,CCS,2018,Yes,3.6,3,Quarterly,Cape Town,high
EVS02619,AC Level 1,0.29,6:00-22:00,4.76,88,ChargePoint,150,"Type 2, Tesla",2023,No,3.1,7,Annually,Mumbai,high
EVS02705,AC Level 1,0.44,24/7,6.26,15,Ionity,50,"CHAdeMO, Tesla",2023,No,4.0,8,Annually,Chicago,low
EVS03380,DC Fast Charger,0.32,9:00-18:00,14.42,21,Tesla,150,"CCS, Tesla",2020,Yes,3.3,7,Monthly,Seoul,low
EVS03396,AC Level 1,0.33,24/7,4.62,32,ChargePoint,350,"CHAdeMO, Tesla",2015,No,4.9,6,Annually,San Francisco,low
EVS03542,AC Level 1,0.45,9:00-18:00,1.79,52,EVgo,350,Type 2,2013,No,4.8,5,Quarterly,San Francisco,high
EVS03880,DC Fast Charger,0.4,9:00-18:00,10.58,68,Ionity,150,Type 2,2017,No,3.9,3,Monthly,Moscow,high
EVS04387,AC Level 2,0.37,9:00-18:00,1.12,38,EVgo,150,Tesla,2018,No,4.7,5,Annually,Sydney,low
EVS04705,AC Level 1,0.13,9:00-18:00,15.23,37,Tesla,150,"CHAdeMO, Type 2",2017,No,3.8,3,Monthly,Beijing,low
EVS04809,AC Level 1,0.25,24/7,14.01,78,Greenlots,22,Type 2,2022,Yes,3.3,1,Annually,Berlin,high
EVS00146,DC Fast Charger,0.2,24/7,18.53,33,Greenlots,50,CHAdeMO,2010,Yes,4.1,3,Annually,São Paulo,low
EVS00442,AC Level 2,0.17,24/7,6.64,13,Ionity,50,CHAdeMO,2013,No,3.9,2,Quarterly,Bangkok,low
EVS00679,AC Level 1,0.46,24/7,6.73,95,Greenlots,50,"CHAdeMO, Tesla",2022,Yes,3.3,3,Monthly,Bangkok,high
EVS00808,AC Level 1,0.32,6:00-22:00,2.86,61,EVgo,22,"CHAdeMO, Type 2",2022,Yes,3.4,1,Monthly,Dubai,high
EVS00905,AC Level 1,0.46,9:00-18:00,9.03,98,Ionity,350,CHAdeMO,2019,Yes,4.3,1,Monthly,São Paulo,high
EVS01039,DC Fast Charger,0.36,24/7,7.75,58,Greenlots,50,"CHAdeMO, CCS",2021,Yes,4.5,9,Annually,Sydney,high
EVS01165,AC Level 1,0.4,6:00-22:00,5.57,48,Greenlots,50,CHAdeMO,2013,No,3.9,9,Annually,Beijing,low
EVS01623,AC Level 1,0.38,24/7,0.53,55,Tesla,150,Type 2,2015,Yes,4.1,2,Monthly,Mumbai,high
EVS01740,AC Level 1,0.27,24/7,13.31,59,Greenlots,350,"CHAdeMO, CCS",2019,No,4.0,8,Monthly,Mexico City,high
EVS02013,AC Level 2,0.17,24/7,8.24,82,ChargePoint,22,"Tesla, CCS",2011,No,4.3,4,Annually,Los Angeles,high
EVS02875,DC Fast Charger,0.42,6:00-22:00,6.42,10,EVgo,150,Type 2,2017,Yes,4.8,5,Quarterly,San Francisco,low
EVS03665,AC Level 1,0.38,24/7,6.55,93,EVgo,22,"Tesla, CCS",2017,No,4.9,7,Quarterly,Moscow,high
EVS03679,AC Level 2,0.19,9:00-18:00,11.13,86,Greenlots,22,"CCS, Tesla",2018,No,3.4,3,Annually,Bangkok,high
EVS03803,AC Level 2,0.23,9:00-18:00,1.03,56,Ionity,350,Type 2,2020,No,3.5,10,Monthly,Dubai,high
EVS03879,AC Level 1,0.4,24/7,3.85,51,Tesla,150,"CCS, Type 2",2017,No,4.6,7,Quarterly,Cape Town,high
EVS03916,AC Level 2,0.13,9:00-18:00,2.92,66,Tesla,22,Tesla,2011,Yes,4.6,3,Quarterly,Sydney,high
EVS04184,AC Level 1,0.23,6:00-22:00,8.71,60,Tesla,150,"CCS, Tesla",2023,Yes,4.1,10,Annually,Sydney,high
EVS04432,DC Fast Charger,0.13,9:00-18:00,15.17,70,Tesla,22,"Tesla, CCS",2016,No,3.9,9,Quarterly,Toronto,high
EVS04525,AC Level 2,0.44,6:00-22:00,10.98,18,Tesla,150,Type 2,2017,Yes,4.5,2,Quarterly,Bangkok,low
EVS04905,AC Level 2,0.2,24/7,2.75,18,Greenlots,350,"CCS, Type 2",2021,Yes,3.5,6,Annually,Dubai,low
EVS04969,DC Fast Charger,0.35,6:00-22:00,9.12,83,Tesla,350,"CCS, Type 2",2018,Yes,3.3,2,Quarterly,Beijing,high
EVS00370,AC Level 1,0.13,24/7,1.52,24,ChargePoint,350,CCS,2018,Yes,3.0,4,Annually,Beijing,low
EVS00377,AC Level 1,0.37,9:00-18:00,12.7,45,EVgo,350,Tesla,2023,Yes,3.9,1,Monthly,Seoul,low
EVS00452,AC Level 1,0.46,24/7,6.59,19,EVgo,150,"CCS, CHAdeMO",2018,Yes,3.6,5,Quarterly,Seoul,low
EVS00867,DC Fast Charger,0.43,9:00-18:00,3.73,75,EVgo,50,"CCS, Type 2",2016,No,4.1,4,Annually,Sydney,high
EVS00944,AC Level 2,0.26,6:00-22:00,10.16,61,Ionity,350,"Tesla, CCS",2017,Yes,4.6,2,Annually,Sydney,high
EVS01205,AC Level 1,0.15,6:00-22:00,10.93,10,Tesla,50,"CCS, Tesla",2018,Yes,4.0,3,Monthly,Moscow,low
EVS01303,DC Fast Charger,0.2,6:00-22:00,1.44,43,Tesla,50,"CCS, Tesla",2012,Yes,4.0,10,Quarterly,Los Angeles,low
EVS01408,AC Level 2,0.16,24/7,17.98,67,EVgo,150,Type 2,2010,No,3.2,4,Annually,Sydney,high
EVS01942,AC Level 2,0.48,9:00-18:00,15.44,57,ChargePoint,50,"Tesla, CCS",2010,Yes,4.3,7,Quarterly,Mumbai,high
EVS02203,AC Level 2,0.38,24/7,1.91,17,Tesla,50,"Type 2, CHAdeMO",2015,No,5.0,6,Monthly,Bangkok,low
